Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-24,0,,,1,1,,las hijas,Omission,DOM,Feminine,Plural,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-25,,,,,,,poner las mascarillas,DP,Clitic,Feminine,Plural,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-26,0,,,,,,que miran la tele,Indicative,Subjunctive,,,ver,1611795,Irregular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-27,0,,,,,,las hijas,Omission,DOM,Feminine,Plural,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-28,0,,,,,,que el sol se sale,Indicative,Subjunctive,,,salir,334324,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-01,1,,,,,,su hijo,Omission,DOM,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-02,0,,,,,,que ellos escriben,Indicative,Subjunctive,,,escribir,265684,Regular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-03,,,,,,,romper,Omission,Clitic,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-04,,,,,,,su hijo,Omission,DOM,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-05,,,,,,,están comiendo,Omission,Clitic,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-06,0,,,,,,que los niños juegan,Regular verb,Subjunctive,,,hacer,2726954,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-07,,,,,,,cuenta los números,DP,Clitic,Masculine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-08,,,,,,,su sobrina y un perro,Omission,DOM,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-09,,,,1,1,,ponen las chaquetas...,DP,Clitic,Feminine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-10,0,,,,,Code 0 for accuracy added -Jen,abrir la puerta,Infinitive,Subjunctive,,,abrir,143932,Regular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-11,,,,,,,lavar el perro,DP,Clitic,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-12,0,,,,,,un niño,Omission,DOM,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-13,,,,,,,escuchar la música,DP,Clitic,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-14,1,,,,,Code 1 for accuracy added -Jen,quiere que sus amigos entren,Regular verb,Subjunctive,,,ir,603647,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-15,,,,1,1,,pusiste los libros,DP,Clitic,Masculine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-16,1,,,,,,a su bebé,,DOM,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-17,,,,1,1,,comiendo las galletas,DP,Clitic,Feminine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-18,0,,,,,,que los niños se comen,Indicative,Subjunctive,,,comer,213756,Regular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-19,,,,1,1,,preparando el pescado,DP,Clitic,Masculine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-20,,,,,,,un niña que tiene miedo,Omission,DOM,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-21,,,,,,,cierran la puerta,DP,Clitic,Feminine,Singular,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-22,0,,,,,,quiere que ponen,Indicative,Subjunctive,,,poner,514285,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-23,,,,,,,jugar la música,DP,Clitic,Masculine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-24,,,,,,,dos niñas,Omission,DOM,Feminine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-25,,,,,,,los niños ponen la mascarillas,DP,Clitic,Feminine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-26,0,,,,,Code ) for accuracy and infinitive added -Jen,ver televisión,Infinitive,Subjunctive,,,ver,1611795,Irregular
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-27,,,,,,,,Omission,DOM,Feminine,Plural,,,
H05,1,1,Heritage,8,,174,,,,2,6,,8,Heritage Spanish,,,,Production,Prod-28,,,,,,,,Omission,Subjunctive,,,salir,334324,Irregular
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-01,0,,,,,,un niño,Omission,DOM,Masculine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-02,0,,,,,,escriben,Indicative,Subjunctive,,,escribir,265684,Regular
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-03,1,1,1,,,,lo hacen abrir,,Clitic,Masculine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-04,0,,,,,,su hija,Omission,DOM,Masculine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-05,1,1,1,,,,la comen,,Clitic,Feminine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-06,,,,,,,jugar,Infinitive,Subjunctive,,,hacer,2726954,Irregular
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-07,1,1,1,,,,contarlos,,Clitic,Masculine,Plural,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-08,0,,,,,,un perrito y una niña,Omission,DOM,Feminine,Singular,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-09,,,,,,,dos niñas están sacando,Omission,Clitic,Feminine,Plural,,,
H06,1,1,L2,8,,174,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-10,,,,,,,abrir la puerta,Infinitive,Subjunctive,,,abrir,143932,Regular
